Company ID,Stock Code,Company Name,Industry,Propensity Score,Address,Website,LinkedIn,Annual Revenue (HKD),Marketing Budget Est.,Social Media Followers,Engagement Rate,Market Cap Bn,Company Size,Contact Person,Email,Phone
101,0293.HK,Cathay Pacific,Aviation,88,"Cathay City, 8 Scenic Road, HKIA, Lantau",www.cathaypacific.com,linkedin.com/company/cathay-pacific,$85B,$500M,2.5M,4.20%,79.12,,,,
102,0005.HK,HSBC Hong Kong,Banking & Finance,95,"1 Queen's Road Central, Hong Kong",www.hsbc.com.hk,linkedin.com/company/hsbc,$400B,$1.2B,3.1M,3.50%,2306.60,,,,
103,1299.HK,AIA Group,Insurance,82,"1 Connaught Road Central, Hong Kong",www.aia.com.hk,linkedin.com/company/aia,$250B,$800M,1.8M,2.80%,882.96,25938,Group Corporate Communications (Media),mediarelations@aia.com,85222328888
104,0008.HK,PCCW,Telecommunications,76,"PCCW Tower, Taikoo Place, Quarry Bay",www.pccw.com,linkedin.com/company/pccw,$38B,$200M,800K,1.90%,46.18,,,,
105,1929.HK,Chow Tai Fook,Retail & Luxury,85,"38th Floor, New World Tower, Central",www.chowtaifook.com,linkedin.com/company/chow-tai-fook,$70B,$350M,1.2M,5.10%,119.17,,,,
106,0011.HK,Hang Seng Bank,,,,,,,,,,,,,,
107,2828.HK,Standard Chatered Bank,,,,,,,,,,,,,,
108,1828.HK,FWD Insurance,,,,,,,,,,,,,,
109,0388.HK,Hong Kong Exchanges & Clearing,,,,,,,,,,514.16,,,,
110,2388.HK,Bank of China (Hong Kong),,,,,,,,,,444.48,,,,
111,J36.SI,Jardine Matheson,,,,,,,,,,429.68,,,,
112,0016.HK,Sun Hung Kai Properties,,,,,,,,,,412.64,,,,
113,0019.HK,Swire Pacific,,,,,,,,,,296.40,,,,
114,0762.HK,China Unicom,,,,,,,,,,235.30,,,,
115,0001.HK,CK Hutchison Holdings,,,,,,,,,,234.02,,,,
116,0066.HK,MTR Corporation,,,,,,,,,,223.12,,,,
117,0669.HK,Techtronic Industries,,,,,,,,,,221.33,,,,
118,1109.HK,China Resources Land,,,,,,,,,,214.93,,,,
119,0002.HK,CLP Group,,,,,,,,,,188.35,,,,
120,0027.HK,Galaxy Entertainment,,,,,,,,,,165.97,,,,
121,1038.HK,CK Infrastructure,,,,,,,,,,165.79,,,,
122,1113.HK,CK Asset Holdings,,,,,,,,,,164.98,,,,
123,0012.HK,Henderson Land Development,,,,,,,,,,164.41,,,,
124,FUTU,Futu Holdings,,,,,,,,,,159.24,,,,
125,0688.HK,China Overseas Land &amp; Investment,,,,,,,,,,147.32,,,,
126,1972.HK,Swire Properties,,,,,,,,,,146.59,,,,
127,0003.HK,Hong Kong and China Gas,,,,,,,,,,140.70,,,,
128,H78.SI,Hongkong Land,,,,,,,,,,137.35,,,,
129,0006.HK,Power Assets,,,,,,,,,,134.58,,,,
130,0288.HK,WH Group,,,,,,,,,,122.79,,,,
131,0992.HK,Lenovo,,,,,,,,,,114.49,,,,
132,0083.HK,Sino Land,,,,,,,,,,110.21,,,,
133,0316.HK,Orient Overseas Container Line,,,,,,,,,,104.14,,,,
134,0823.HK,Link REIT,,,,,,,,,,99.07,,,,
135,1876.HK,Budweiser APAC,,,,,,,,,,98.61,,,,
136,RGC,Regencell Bioscience,,,,,,,,,,98.41,,,,
137,0836.HK,China Resources Power Holdings,,,,,,,,,,96.35,,,,
138,6823.HK,Hong Kong Telecom,,,,,,,,,,93.09,,,,
139,1308.HK,SITC International,,,,,,,,,,90.82,,,,
140,1997.HK,Wharf REIC,,,,,,,,,,84.41,,,,
141,0291.HK,China Resources Beer,,,,,,,,,,83.24,,,,
142,0241.HK,Alibaba Health Information Technology,,,,,,,,,,79.98,,,,
143,0966.HK,China Taiping Insurance,,,,,,,,,,78.57,,,,
144,0004.HK,Wharf Holdings,,,,,,,,,,78.42,,,,
145,6178.HK,Everbright Securities Company,,,,,,,,,,75.95,,,,
146,0135.HK,Kunlun Energy Company,,,,,,,,,,74.29,,,,
147,3898.HK,Zhuzhou CRRC Times Electric,,,,,,,,,,72.74,,,,
148,0144.HK,China Merchants Port,,,,,,,,,,71.32,,,,
149,2638.HK,HK Electric Investments,,,,,,,,,,61.85,,,,
150,0151.HK,Want Want China,,,,,,,,,,55.59,,,,
151,3998.HK,Bosideng,,,,,,,,,,54.86,,,,
152,3311.HK,China State Construction International,,,,,,,,,,49.65,,,,
153,0101.HK,Hang Lung Properties,,,,,,,,,,48.14,,,,
154,0868.HK,Xinyi Glass Holdings,,,,,,,,,,47.38,,,,
155,0522.HK,ASMPT (ASM Pacific Technology),,,,,,,,,,46.96,,,,
156,1193.HK,China Resources Gas Group,,,,,,,,,,46.83,,,,
157,D01.SI,DFI Retail Group,,,,,,,,,,46.47,,,,
158,0392.HK,Beijing Enterprises Holdings,,,,,,,,,,44.66,,,,
159,0148.HK,Kingboard Holdings,,,,,,,,,,41.34,,,,
160,2380.HK,China Power International Development,,,,,,,,,,41.32,,,,
161,0659.HK,CTF Services Limited,,,,,,,,,,39.34,,,,
162,0023.HK,Bank of East Asia,,,,,,,,,,37.01,,,,
163,1882.HK,Haitian International Holdings,,,,,,,,,,36.93,,,,
164,1164.HK,CGN Mining Company,,,,,,,,,,35.04,,,,
165,0683.HK,Kerry Properties,,,,,,,,,,34.92,,,,
166,3800.HK,GCL Technology,,,,,,,,,,34.66,,,,
167,M04.SI,Mandarin Oriental,,,,,,,,,,33.01,,,,
168,SIMO,Silicon Motion,,,,,,,,,,32.50,,,,
169,0257.HK,China Everbright Environment Group,,,,,,,,,,31.08,,,,
170,1908.HK,C&amp;D International Investment Group,,,,,,,,,,29.99,,,,
171,3320.HK,China Resources Pharmaceutical Group,,,,,,,,,,27.52,,,,
172,0142.HK,First Pacific Company,,,,,,,,,,25.70,,,,
173,0053.HK,Guoco,,,,,,,,,,24.02,,,,
174,0017.HK,New World Development Company,,,,,,,,,,23.91,,,,
175,0010.HK,Hang Lung Group,,,,,,,,,,22.24,,,,
