Company ID,Stock Code,Company Name,Industry,Propensity Score,Address,Website,LinkedIn,Annual Revenue (HKD),Marketing Budget Est.,Social Media Followers,Engagement Rate,Market Cap Bn,Company Size,Contact Person,Email,Phone
101,0293.HK,Cathay Pacific,Aviation,88.0,"Cathay City, 8 Scenic Road, HKIA, Lantau",www.cathaypacific.com,linkedin.com/company/cathay-pacific,$85B,$500M,2.5M,4.20%,79.12,23000.0,Head of Corporate Affairs,press@cathaypacific.com,85227471888
102,0005.HK,HSBC Hong Kong,Banking & Finance,95.0,"1 Queen's Road Central, Hong Kong",www.hsbc.com.hk,linkedin.com/company/hsbc,$400B,$1.2B,3.1M,3.50%,2306.6,214000.0,Group Corporate Communications,mediarelations@hsbc.com,85228221111
103,1299.HK,AIA Group,Insurance,82.0,"1 Connaught Road Central, Hong Kong",www.aia.com.hk,linkedin.com/company/aia,$250B,$800M,1.8M,2.80%,882.96,25938.0,Group Corporate Communications (Media),mediarelations@aia.com,85222328888.0
104,0008.HK,PCCW,Telecommunications,76.0,"PCCW Tower, Taikoo Place, Quarry Bay",www.pccw.com,linkedin.com/company/pccw,$38B,$200M,800K,1.90%,46.18,20000.0,Group Corporate Communications,corpcomms@pccw.com,85228882888
105,1929.HK,Chow Tai Fook,Retail & Luxury,85.0,"38th Floor, New World Tower, Central",www.chowtaifook.com,linkedin.com/company/chow-tai-fook,$70B,$350M,1.2M,5.10%,119.17,38000.0,Corporate Communications Department,ir@chowtaifook.com,85225268632
106,0011.HK,Hang Seng Bank,Banking & Financial Services,88.0,"83 Des Voeux Road Central, Hong Kong",www.hangseng.com,linkedin.com/company/hang-seng-bank,$36.3B,$900M,300K,2.50%,207.5,8500.0,Corporate Communications Department,corporatecommunications@hangseng.com,85228282828
107,2828.HK,Standard Chatered Bank,Finance,90.0,"4-4A Des Voeux Road Central, Central, Hong Kong",www.sc.com,linkedin.com/company/standard-chartered,$141.2B,$700M,2.7M,1.80%,168.08,85000.0,Group Corporate Affairs,media@sc.com,+85228868868
108,1828.HK,FWD Insurance,Insurance,90.0,"13/F, 111 Leighton Road, Causeway Bay, Hong Kong",www.fwd.com.hk,linkedin.com/company/fwd-insurance,$58.3B,$3.5B,100K,2.50%,76.81,19000.0,Group Corporate Communications,enquiry.hk@fwd.com,85231233123
109,0388.HK,Hong Kong Exchanges & Clearing,Financial Services,75.0,"8th Floor, Two Exchange Square, 8 Connaught Place, Central, Hong Kong",www.hkexgroup.com,linkedin.com/company/hong-kong-exchanges-and-clearing-limited,$20.5B,$200M,150K,1.50%,514.16,2800.0,Group Corporate Communications,general_enquiry@hkex.com.hk,85228403793
110,2388.HK,Bank of China (Hong Kong),Banking,90.0,"Bank of China Tower, 1 Garden Road, Central, Hong Kong",www.bochk.com,linkedin.com/company/bank-of-china-(hong-kong),$70B,$500M,220K,0.80%,444.48,15500.0,Corporate Communications Department,mediarelations@bochk.com,85239882388
111,J36.SI,Jardine Matheson,Conglomerate,80.0,"Jardine House, 1 Connaught Place, Central, Hong Kong",www.jardines.com,linkedin.com/company/jardine-matheson,$351B,$900M,120K,1.50%,429.68,330000.0,Group Corporate Communications,info@jardines.com,85228438388
112,0016.HK,Sun Hung Kai Properties,Real Estate,90.0,"45th Floor, Sun Hung Kai Centre, 30 Harbour Road, Wanchai, Hong Kong",www.shkp.com,linkedin.com/company/sun-hung-kai-properties,$85B,$700M,140K,2.50%,412.64,30000.0,Corporate Communications Department,enquiry@shkp.com,85228278111
113,0019.HK,Swire Pacific,Conglomerate / Diversified Holdings,88.0,"33rd Floor, One Pacific Place, 88 Queensway, Admiralty, Hong Kong",www.swirepacific.com,linkedin.com/company/swire-pacific,$89.6B,$950M,110K,1.60%,296.4,130000.0,Group Corporate Affairs Department,info@swirepacific.com,85228408888
114,0762.HK,China Unicom,Telecommunications,75.0,"75th Floor, The Center, 99 Queen's Road Central, Hong Kong",www.chinaunicom.com.hk,linkedin.com/company/china-unicom,$402B,$24B,500K,1.20%,235.3,240000.0,Investor Relations Department,ir@chinaunicom.com.hk,85221212121
115,0001.HK,CK Hutchison Holdings,Diversified Holdings,75.0,"22nd Floor, Hutchison House, 10 Harcourt Road, Central, Hong Kong",www.ckh.com.hk,linkedin.com/company/ck-hutchison-holdings,$447.25B,$1.5B,100K,1.50%,234.02,300000.0,Corporate Communications Department,info@ckh.com.hk,85221281188
116,0066.HK,MTR Corporation,Transportation & Infrastructure,80.0,"MTR Headquarters, Telford House, Kowloon Bay, Hong Kong",www.mtr.com.hk,linkedin.com/company/mtr-corporation,$57B,$400M,550K,1.80%,223.12,24000.0,Corporate Affairs Department,generalenquiry@mtr.com.hk,85229932111
117,0669.HK,Techtronic Industries,Manufacturing / Consumer Durables,85.0,"29/F, Tower 2, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung, New Territories, Hong Kong",www.ttigroup.com,linkedin.com/company/techtronic-industries-co.-ltd.,$107B,$4.3B,180K,1.50%,221.33,55000.0,Investor Relations Department,ir@ttigroup.com,85224026888
118,1109.HK,China Resources Land,Real Estate Development,80.0,"39th Floor, China Resources Building, 26 Harbour Road, Wanchai, Hong Kong",www.crland.com.hk,linkedin.com/company/china-resources-land-ltd,$271B,$2.8B,40K,1.50%,214.93,55000.0,Investor Relations Department,ir@crland.com.hk,85228798888
119,0002.HK,CLP Group,Utilities,80.0,"8 Laguna Verde Avenue, Hung Hom, Kowloon, Hong Kong",www.clpgroup.com,linkedin.com/company/clp-holdings,$108.1B,$250M,140K,1.50%,188.35,8000.0,Group Public Affairs Department,corpcomm@clp.com.hk,85226788111
120,0027.HK,Galaxy Entertainment,Gaming & Hospitality,90.0,"Unit 1601, 16th Floor, Grand Millennium Plaza, 181 Queen's Road Central, Hong Kong",www.galaxyentertainment.com,linkedin.com/company/galaxy-entertainment-group,$35.7B,$1.2B,50K,1.50%,165.97,19000.0,Corporate Communications Department,media@galaxyentertainment.com,85236811800
121,1038.HK,CK Infrastructure,Utilities / Infrastructure,65.0,"12/F., Cheung Kong Center, 2 Queen's Road Central, Hong Kong",www.cki.com.hk,linkedin.com/company/ck-infrastructure-holdings-limited,$40.3B,$300M,46K,1.50%,165.79,10488.0,Group Corporate Communications,gmed@ckh.com.hk,85222328888
122,1113.HK,CK Asset Holdings,Property Development,75.0,"Cheung Kong Center, 2 Queen's Road Central, Hong Kong",www.ckah.com,linkedin.com/company/ck-asset-holdings-limited,$62.8B,$400M,14K,N/A,164.98,13000.0,Corporate Communications Department,enquiry@ckah.com,85221288888
123,0012.HK,Henderson Land Development,Real Estate,80.0,"76/F, Two International Finance Centre, 8 Finance Street, Central, Hong Kong",www.hld.com,linkedin.com/company/henderson-land-development,$26B,$300M,12K,0.80%,164.41,3500.0,Investor Relations / Corporate Communications,investorrelations@hld.com,85229018888
124,FUTU,Futu Holdings,Fintech / Financial Services,75.0,"10/F, K11 Atelier, 18 Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong",www.futuholdings.com,linkedin.com/company/futu-holdings-limited/,$8.42B,$1.5B,1.0M,2.50%,159.24,2500.0,Marketing and Public Relations Department,ir@futuholdings.com,+852 3991 3501
